adduser	3.137ubuntu1
adwaita-icon-theme	46.0-1
alsa-topology-conf	1.2.5.1-2
alsa-ucm-conf	1.2.10-1ubuntu5.7
apparmor	4.0.1really4.0.1-0ubuntu0.24.04.4
apport	2.28.1-0ubuntu3.8
apport-core-dump-handler	2.28.1-0ubuntu3.8
apport-symptoms	0.25
appstream	1.0.2-1build6
apt	2.8.3
apt-transport-https	2.8.3
apt-utils	2.8.3
at-spi2-common	2.52.0-1build1
at-spi2-core	2.52.0-1build1
base-files	13ubuntu10.3
base-passwd	3.6.3build1
bash	5.2.21-2ubuntu4
bash-completion	1:2.11-8
bc	1.07.1-3ubuntu4
binutils	2.42-4ubuntu2.5
binutils-common:amd64	2.42-4ubuntu2.5
binutils-x86-64-linux-gnu	2.42-4ubuntu2.5
bpfcc-tools	0.29.1+ds-1ubuntu7
bpftrace	0.20.2-1ubuntu4.3
bsdextrautils	2.39.3-9ubuntu6.3
bsdutils	1:2.39.3-9ubuntu6.3
busybox-initramfs	1:1.36.1-6ubuntu3.1
byobu	6.11-0ubuntu1
bzip2	1.0.8-5.1build0.1
ca-certificates	20240203
ca-certificates-java	20240118
clang-18	1:18.1.3-1ubuntu1
clangd-18	1:18.1.3-1ubuntu1
clangd:amd64	1:18.0-59~exp2
cloud-guest-utils	0.33-1
cloud-init	25.1.4-0ubuntu0~24.04.1
command-not-found	23.04.0
console-setup	1.226ubuntu1
console-setup-linux	1.226ubuntu1
coreutils	9.4-3ubuntu6
cpio	2.15+dfsg-1ubuntu2
cpp	4:13.2.0-7ubuntu1
cpp-13	13.3.0-6ubuntu2~24.04
cpp-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04
cpp-x86-64-linux-gnu	4:13.2.0-7ubuntu1
cron	3.0pl1-184ubuntu2
cron-daemon-common	3.0pl1-184ubuntu2
curl	8.5.0-2ubuntu10.6
dash	0.5.12-6ubuntu5
dbus	1.14.10-4ubuntu4.1
dbus-bin	1.14.10-4ubuntu4.1
dbus-daemon	1.14.10-4ubuntu4.1
dbus-session-bus-common	1.14.10-4ubuntu4.1
dbus-system-bus-common	1.14.10-4ubuntu4.1
dbus-user-session	1.14.10-4ubuntu4.1
dbus-x11	1.14.10-4ubuntu4.1
dconf-gsettings-backend:amd64	0.40.0-4build2
dconf-service	0.40.0-4build2
debconf	1.5.86ubuntu1
debconf-i18n	1.5.86ubuntu1
debianutils	5.17build1
desktop-file-utils	0.27-2build1
dhcpcd-base	1:10.0.6-1ubuntu3.1
diffutils	1:3.10-1build1
dirmngr	2.4.4-2ubuntu17.3
distro-info	1.7build1
distro-info-data	0.60ubuntu0.3
dmsetup	2:1.02.185-3ubuntu3.2
dpkg	1.22.6ubuntu6.5
dpkg-dev	1.22.6ubuntu6.5
dracut-install	060+5-1ubuntu3.3
e2fsprogs	1.47.0-2.4~exp1ubuntu4.1
e2fsprogs-l10n	1.47.0-2.4~exp1ubuntu4.1
eatmydata	131-1ubuntu1
ed	1.20.1-1
eject	2.39.3-9ubuntu6.3
ethtool	1:6.7-1build1
fakeroot	1.33-1
fdisk	2.39.3-9ubuntu6.3
file	1:5.45-3build1
findutils	4.9.0-5build1
firmware-sof-signed	2023.12.1-1ubuntu1.7
fontconfig	2.15.0-1.1ubuntu2
fontconfig-config	2.15.0-1.1ubuntu2
fonts-dejavu-core	2.37-8
fonts-dejavu-extra	2.37-8
fonts-dejavu-mono	2.37-8
fonts-ubuntu	0.869+git20240321-0ubuntu1
fuse3	3.14.0-5build1
g++	4:13.2.0-7ubuntu1
g++-13	13.3.0-6ubuntu2~24.04
g++-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04
g++-x86-64-linux-gnu	4:13.2.0-7ubuntu1
gawk	1:5.2.1-2build3
gcc	4:13.2.0-7ubuntu1
gcc-13	13.3.0-6ubuntu2~24.04
gcc-13-base:amd64	13.3.0-6ubuntu2~24.04
gcc-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04
gcc-14-base:amd64	14.2.0-4ubuntu2~24.04
gcc-x86-64-linux-gnu	4:13.2.0-7ubuntu1
gdb	15.0.50.20240403-0ubuntu1
gdisk	1.0.10-1build1
gettext-base	0.21-14ubuntu2
gir1.2-girepository-2.0:amd64	1.80.1-1
gir1.2-glib-2.0:amd64	2.80.0-6ubuntu3.4
gir1.2-packagekitglib-1.0	1.2.8-2ubuntu1.2
git	1:2.43.0-1ubuntu7.3
git-man	1:2.43.0-1ubuntu7.3
gnupg	2.4.4-2ubuntu17.3
gnupg-l10n	2.4.4-2ubuntu17.3
gnupg-utils	2.4.4-2ubuntu17.3
gpg	2.4.4-2ubuntu17.3
gpg-agent	2.4.4-2ubuntu17.3
gpg-wks-client	2.4.4-2ubuntu17.3
gpgconf	2.4.4-2ubuntu17.3
gpgsm	2.4.4-2ubuntu17.3
gpgv	2.4.4-2ubuntu17.3
grep	3.11-4build1
groff-base	1.23.0-3build2
grub-common	2.12-1ubuntu7.3
grub-gfxpayload-lists	0.7build2
grub-pc	2.12-1ubuntu7.3
grub-pc-bin	2.12-1ubuntu7.3
grub2-common	2.12-1ubuntu7.3
gsettings-desktop-schemas	46.1-0ubuntu1
gtk-update-icon-cache	3.24.41-4ubuntu1.3
gyp	0.1+20220404git9ecf45e-2
gzip	1.12-1ubuntu3.1
hicolor-icon-theme	0.17-2
hostname	3.23+nmu2ubuntu2
humanity-icon-theme	0.6.16
hwdata	0.379-1
icu-devtools	74.2-1ubuntu3.1
ieee-data	20220827.1
info	7.1-3build2
init	1.66ubuntu1
init-system-helpers	1.66ubuntu1
initramfs-tools	0.142ubuntu25.5
initramfs-tools-bin	0.142ubuntu25.5
initramfs-tools-core	0.142ubuntu25.5
install-info	7.1-3build2
intel-microcode	3.20250512.0ubuntu0.24.04.1
iproute2	6.1.0-1ubuntu6.2
iputils-ping	3:20240117-1ubuntu0.1
iso-codes	4.16.0-1
iucode-tool	2.3.1-3build1
java-common	0.75+exp1
javascript-common	11+nmu1
jq	1.7.1-3ubuntu0.24.04.1
kbd	2.6.4-2ubuntu2
keyboard-configuration	1.226ubuntu1
keyboxd	2.4.4-2ubuntu17.3
klibc-utils	2.0.13-4ubuntu0.1
kmod	31+20240202-2ubuntu7.1
krb5-locales	1.20.1-6ubuntu2.6
landscape-client	24.02-0ubuntu5.3
landscape-common	24.02-0ubuntu5.3
less	590-2ubuntu2.1
lib32gcc-s1	14.2.0-4ubuntu2~24.04
lib32stdc++6	14.2.0-4ubuntu2~24.04
libabsl20220623t64:amd64	20220623.1-3.1ubuntu3.2
libacl1:amd64	2.3.2-1build1.1
libalgorithm-diff-perl	1.201-1
libalgorithm-diff-xs-perl:amd64	0.04-8build3
libalgorithm-merge-perl	0.08-5
libaom3:amd64	3.8.2-2ubuntu0.1
libapparmor1:amd64	4.0.1really4.0.1-0ubuntu0.24.04.4
libappstream5:amd64	1.0.2-1build6
libapt-pkg6.0t64:amd64	2.8.3
libargon2-1:amd64	0~20190702+dfsg-4build1
libasan8:amd64	14.2.0-4ubuntu2~24.04
libasound2-data	1.2.11-1ubuntu0.1
libasound2t64:amd64	1.2.11-1ubuntu0.1
libassuan0:amd64	2.5.6-1build1
libasyncns0:amd64	0.8-6build4
libatk-bridge2.0-0t64:amd64	2.52.0-1build1
libatk-wrapper-java	0.40.0-3build2
libatk-wrapper-java-jni:amd64	0.40.0-3build2
libatk1.0-0t64:amd64	2.52.0-1build1
libatm1t64:amd64	1:2.5.1-5.1build1
libatomic1:amd64	14.2.0-4ubuntu2~24.04
libatspi2.0-0t64:amd64	2.52.0-1build1
libattr1:amd64	1:2.5.2-1build1.1
libaudit-common	1:3.1.2-2.1build1.1
libaudit1:amd64	1:3.1.2-2.1build1.1
libauthen-sasl-perl	2.1700-1
libavahi-client3:amd64	0.8-13ubuntu6
libavahi-common-data:amd64	0.8-13ubuntu6
libavahi-common3:amd64	0.8-13ubuntu6
libbabeltrace1:amd64	1.5.11-3build3
libbinutils:amd64	2.42-4ubuntu2.5
libblkid1:amd64	2.39.3-9ubuntu6.3
libbpf1:amd64	1:1.3.0-2build2
libbpfcc:amd64	0.29.1+ds-1ubuntu7
libbrotli1:amd64	1.1.0-2build2
libbsd0:amd64	0.12.1-1build1.1
libbz2-1.0:amd64	1.0.8-5.1build0.1
libc-bin	2.39-0ubuntu8.6
libc-dev-bin	2.39-0ubuntu8.6
libc-devtools	2.39-0ubuntu8.6
libc6-dbg:amd64	2.39-0ubuntu8.6
libc6-dev:amd64	2.39-0ubuntu8.6
libc6-i386	2.39-0ubuntu8.6
libc6:amd64	2.39-0ubuntu8.6
libcairo-gobject2:amd64	1.18.0-3build1
libcairo2:amd64	1.18.0-3build1
libcap-ng0:amd64	0.8.4-2build2
libcap2-bin	1:2.66-5ubuntu2.2
libcap2:amd64	1:2.66-5ubuntu2.2
libcares2:amd64	1.27.0-1.0ubuntu1
libcbor0.10:amd64	0.10.2-1.2ubuntu2
libcc1-0:amd64	14.2.0-4ubuntu2~24.04
libclang-common-18-dev:amd64	1:18.1.3-1ubuntu1
libclang-cpp18	1:18.1.3-1ubuntu1
libclang-rt-18-dev:amd64	1:18.1.3-1ubuntu1
libclang1-18	1:18.1.3-1ubuntu1
libclone-perl:amd64	0.46-1build3
libcolord2:amd64	1.4.7-1build2
libcom-err2:amd64	1.47.0-2.4~exp1ubuntu4.1
libcommon-sense-perl:amd64	3.75-3build3
libcrypt-dev:amd64	1:4.4.36-4build1
libcrypt1:amd64	1:4.4.36-4build1
libcryptsetup12:amd64	2:2.7.0-1ubuntu4.2
libctf-nobfd0:amd64	2.42-4ubuntu2.5
libctf0:amd64	2.42-4ubuntu2.5
libcups2t64:amd64	2.4.7-1.2ubuntu7.4
libcurl3t64-gnutls:amd64	8.5.0-2ubuntu10.6
libcurl4t64:amd64	8.5.0-2ubuntu10.6
libdata-dump-perl	1.25-1
libdatrie1:amd64	0.2.13-3build1
libdb5.3t64:amd64	5.3.28+dfsg2-7
libdbus-1-3:amd64	1.14.10-4ubuntu4.1
libdbus-glib-1-2:amd64	0.112-3build2
libdconf1:amd64	0.40.0-4build2
